user_id,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,696,697,698,699,700,701,702,703,704,705,706,1119,1120,1121,1122,1123,1124,1125,1401,1402,1403,1404,1405,1406,1407,1704,1705,1706,1707
44, 200, 13, 31, 12, 92, 29, 38, 173, 168, 823, 139, 77, 438, 172, 45, 360, 1361, 229, 1280, 267, 786, 24, 73, 1583, 1056, 122, 95, 191, 368, 611, 751, 1232, 243, 207, 126, 499, 1177, 353, 290, 229, 705, 6076, 157, 233, 92, 296, 27, 730, 247, 543, 95, 125, 1160, 235, 2449, 472, 202, 1556, 132, 1570, 28, 12, 45, 20, 46, 10, 88, 61, 222, 176, 63, 1570, 695,, 25, 115, 76, 27
45, 141, 79, 80, 119, 111, 18, 489, 622, 192, 332, 61, 33, 546, 2095, 54, 50, 1345, 206, 688, 140, 581, 390, 239, 510, 4580, 288, 342, 73, 504, 618, 197, 372, 626, 274, 94, 387, 938, 474, 59, 54, 619, 1932, 32, 89, 144, 537, 19, 57, 76,, 35, 36, 289, 85, 574, 42, 156, 386, 53, 289, 13, 15, 35, 17, 24, 14, 78, 13, 209, 41, 81, 596, 355,, 17, 48, 16, 18
47, 79, 18, 68, 52, 285, 65, 94, 157, 60, 190, 170, 989, 85, 186, 140, 748, 565, 1104, 1484, 31, 101, 144, 151, 1065, 151, 258, 58, 102, 196, 158, 246, 1004, 78, 177, 316, 443, 167, 213, 150, 35, 151, 144, 29, 197, 93, 238, 58, 743, 214, 2424, 170, 95, 636, 132,, 300, 697, 627, 127, 318, 16, 16, 41, 24, 41, 9, 115, 38, 265, 68, 143,, 63,, 117, 63, 33, 56
48, 80, 13,,,, 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, 48, 7, 54, 20, 92, 24, 61,, 260, 106, 39,,,, 26, 93,, 132,,,,,,,,, 68,,,,,,,, 61,,,,,,,, 24,, 67,, 22,,,, 47, 104,, 111,, 107,,, 92,,,,,,,,,,,,,,,,,,,
50, 39, 8, 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, 149, 14, 24, 19, 309, 30, 92, 719, 156, 71, 89, 53, 44,, 49, 142,,,, 90,, 43, 387,,,, 160, 243, 318,,,,, 118, 105,,, 125, 135, 430,,, 118, 122, 135,, 71,,,, 537, 69,, 82,, 141, 509,, 204,, 111, 19, 56, 335, 69, 22, 132, 28,, 117, 151,,,, 31, 75, 52, 102
55, 138, 12,,,,,,,,,,,,,,,,,,,, 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58, 113, 18, 25, 99,, 33,,,,,,,,, 76,,,,,,, 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 38,, 72,,,,,,,,,,,,,,
59, 133, 11, 39,,, 31,,, 497,, 98,,,, 65,,,,, 30,, 288,,,,,,,,,,, 449,,,,,,,,,,,,,, 76,,,,, 327,, 200,,,,,,,,,,,,,,,,,,,,,,,,
62, 29, 12, 53, 27, 147, 80, 265, 862, 88, 435, 107, 1245, 50, 428, 162, 117, 63, 387, 5007, 535, 3672, 67, 77, 240,, 1580, 884, 133, 595, 1625, 579,, 424, 271, 344,, 459, 4705, 63, 252, 409,, 54, 662, 670, 781, 232,, 2440,, 1127, 75,, 1009, 1751, 244, 606,, 203, 710, 26, 25, 106, 83, 113, 13, 358, 19, 574, 239, 221, 768, 10282,, 124, 101, 33, 131
63, 293, 14, 35, 342,, 135,,,,,,,,, 293,,,,,,, 206,,,,,,,,,,,,,,,,,,,,,,,,, 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65, 51, 16, 45, 71, 237, 30, 229, 276, 227, 481, 157, 254,,, 195, 343,, 945,, 317, 226, 52, 165,,,, 775, 337, 2018,,,, 1648,, 963,,,, 99,, 5206,, 186, 615, 120,, 440,,,, 617, 61,, 1616,, 558,,,,,,,,,,,,,,,,,,,,,,
66, 517, 33, 76, 84,, 103,,, 192,, 415,,,, 148,,,,,,, 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
